ticker,company_name,year,sector,indices,is_bist100,current_assets,current_ratio,ebitda,ebitda_growth_pct,ebitda_margin,equity,financial_debt_ratio,gross_margin,gross_profit,gross_profit_growth_pct,leverage_ratio,long_term_liabilities,net_debt,net_debt_to_ebitda,net_income,net_income_growth_pct,net_margin,non_current_assets,operating_income,operating_income_growth_pct,revenue,revenue_growth_pct,roa,roe,short_term_liabilities,total_assets,working_capital,next_year_return_pct,next_year_rank_by_return,next_year_return_percentile,next_year_top_10pct_returner,next_year_top_20pct_returner,next_year_bist100_return_pct,next_year_excess_return_vs_bist100,next_year_outperform_bist100,same_year_return_pct,target_year,has_target,is_inference_row,is_public_universe,is_training_universe,universe_source
AEFES,AEFES,2020,,"BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",True,109123335000.0,1.032035162875319,39545145000.0,-20.89268768853682,16.21718690633272,108611239000.0,22.48354066076161,37.6981855898891,91925944000.0,-22.83046081330746,47.04650365230977,88838123000.0,55384044000.0,1.400527017918382,8956856000.0,-47.83191133157794,3.67314389276124,304455084000.0,25729479000.0,-24.54185744697499,243847131000.0,-19.47576272020117,2.048200044157177,8.194206905394882,105736063000.0,413578419000.0,3387272000.0,33.83838383838383,25.0,40.0,False,False,24.23,9.608383838383826,True,9.14285714285714,2021,True,False,True,True,public_40
ARCLK,ARCLK,2020,,"BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",True,338696844000.0,0.9554610569655252,6074290000.0,3.433315660307804,14.86156346312506,73314458000.0,44.36478872650538,33.77913937844197,13806373000.0,-5.145859859025417,86.05257181976896,128960818000.0,169781109000.0,5.061858022676359,2847839000.0,36.37131488871179,6.967619265998594,223106307000.0,4852296000.0,-92.85026164722132,40872483000.0,-8.771631425953212,6.117932303829914,20.60658268478865,354485242000.0,561803151000.0,-15788398000.0,69.94799405646359,12.0,72.5,False,False,24.23,45.71799405646358,True,44.08141403320832,2021,True,False,True,True,public_40
ASELS,ASELS,2020,,"BIST KATILIM TUM (XKTUM), BIST KATILIM TEMETTU (XKTMT), BIST TEMETTÜ (XTMTU), BIST KATILIM 100 (XK100), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",True,207675087000.0,1.539681050431323,5561887000.0,28.28049981945516,34.53632550744499,281073867000.0,10.94592663296361,28.59466526498413,4605015000.0,18.04049383933082,41.70580086030744,67399144000.0,22084087000.0,0.4090774860188352,4449106000.0,86.07414732856378,27.62655426712671,277343850000.0,5276389000.0,-11.78975802809784,16104455000.0,15.02307482417689,13.04944012665604,24.88069267898167,134881888000.0,485018937000.0,72793199000.0,14.74501108647451,30.0,27.500000000000004,False,False,24.23,-9.484988913525491,False,70.34220532319392,2021,True,False,True,True,public_40
ASTOR,ASTOR,2020,,"BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",True,35814744751.0,2.068181255071998,11102586376.0,6.41772420881158,31.46031440264467,33280133403.0,9.108880230216323,36.94966961725793,13039821956.0,8.196858113868407,34.33854869786933,87274088.0,-7924744700.0,-0.7137746495835053,7668909328.0,16.5986998970833,21.73063918744103,14869686895.0,9777395430.0,13.19101273168103,35290767390.0,1.26805489174304,16.91523939254488,25.33602228118946,17317024155.0,50684431646.0,18497720596.0,56.94799128792934,15.0,60.0,False,False,24.23,32.71799128792934,True,82.82446994315877,2021,True,False,True,True,public_40
BIMAS,BIMAS,2020,,"BIST KATILIM TUM (XKTUM), BIST KATILIM TEMETTU (XKTMT), BIST TEMETTÜ (XTMTU), BIST KATILIM 100 (XK100), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",True,111487229000.0,1.028888300504499,5155629000.0,47.27296403964636,9.290197646059228,165584579000.0,15.59520845282202,18.23797930219901,10121233000.0,17.30763630076695,50.57739225089362,62641837000.0,38574474000.0,0.8870831980172851,2606815000.0,-23.41486500961707,4.697356341333305,226606155000.0,3785556000.0,129.7852469748412,55495364000.0,6.027242848535775,11.12583231997279,36.32843796001693,108356980000.0,338093384000.0,3130249000.0,-13.79950495049506,36.0,12.5,False,False,24.23,-38.02950495049506,False,63.97078006783198,2021,True,False,True,True,public_40
BRSAN,BRSAN,2020,,"BIST 50 (XU050), BIST 100 (XU100), BIST TÜM (XUTUM), BIST SINAİ (XUSIN)",True,37468163000.0,1.179794213271216,387768056.0,102.5209895151026,10.39872088285799,37734876000.0,17.39562312814938,8.412569862143778,350039360.0,66.65115047609014,50.47069532323828,6693874000.0,7793071000.0,1.631930300688742,-10503167.0,36.37131488871179,-0.2816619376688546,38718806000.0,166321088.0,79.38765433254392,3728997637.0,29.76068677868155,-0.1306509087472649,-0.2960182706234296,31758219000.0,76186969000.0,5709944000.0,-3.017241379310349,34.0,17.5,False,False,24.23,-27.24724137931035,False,138.2176520994002,2021,True,False,True,True,public_40
BTCIM,BTCIM,2020,,"BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",True,5185641000.0,1.021778632668599,124868419.0,-35.11179976139319,10.75961588930914,21862295000.0,15.65830993956671,14.75122774958529,171192216.0,-31.03825916740164,30.35762841529901,5724291000.0,5358148000.0,3.945329464199591,-327011521.0,36.37131488871179,-28.17780817212678,30388294000.0,40076750.0,-1.794588086708604,1160528594.0,-18.77374383654299,-12.8886973108245,-94.81162062946186,5075112000.0,35573935000.0,110529000.0,200.0,2.0,97.5,True,True,24.23,175.77,True,36.36363636363635,2021,True,False,True,True,public_40
CANTE,CANTE,2020,,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",True,4631084706.0,2.221696571253344,2166912447.0,-26.67562234081124,35.17662537660619,27934207290.0,2.189742354816806,6.2713439652927,386320551.0,-70.73381430272273,6.990125871218335,77456863.0,167895716.0,0.0774815411819912,-1708553002.0,36.37131488871179,-27.73583629123429,26297371946.0,-852791069.0,-1.794588086708604,6160091890.0,-22.89678476982552,-5.278277952663968,-5.958179929072846,2084481187.0,30928456652.0,2546603519.0,56.94799128792934,15.0,60.0,False,False,24.23,32.71799128792934,True,82.82446994315877,2021,True,False,True,True,public_40
CCOLA,CCOLA,2020,,"BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",True,73616867000.0,1.153209402274213,3061498000.0,4.141241429103645,21.2736796221364,75839768000.0,27.31983046048931,35.56278859692421,5072195000.0,4.666509549579987,54.59206357752095,40311689000.0,25593183000.0,0.7776800523226375,1232671000.0,-27.42292036550663,8.565561020617519,117158486000.0,2143130000.0,1.764301224034896,14391013000.0,3.866631491881777,7.311765140987912,16.08724721239829,63836513000.0,190775353000.0,9780354000.0,38.64468864468864,24.0,42.5,False,False,24.23,14.414688644688642,True,74.03846153846152,2021,True,False,True,True,public_40
CIMSA,CIMSA,2020,,"BIST KATILIM TUM (XKTUM), BIST KATILIM TEMETTU (XKTMT), BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST KATILIM 100 (XK100), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST TÜM (XUTUM)",True,22471348000.0,0.9648189381351155,495280729.0,2.671449127561783,23.85401804193553,34760766000.0,30.66873480197315,22.52819548440347,467752689.0,-7.160370550343541,51.39651087197351,24490970000.0,23376102000.0,2.567749369200244,175746242.0,80.40531978700578,8.464399646509095,70495490000.0,350919550.0,-56.33857262022366,2076298962.0,-0.1833223592780139,4.011230183763919,10.97291727194727,23290741000.0,92966838000.0,-819393000.0,67.08860759493669,13.0,70.0,False,False,24.23,42.858607594936686,True,89.99999999999997,2021,True,False,True,True,public_40
